,Turbine,Date & Time,WTG-B (2.82-FDR 2A) - (GRID) OPERATING TIME,WTG-B (2.82-FDR 2A) - BLADE 1 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 1 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - SET VALUE,WTG-B (2.82-FDR 2A) - DOWN TIME,WTG-B (2.82-FDR 2A) - EXPECTED POWER,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE INTERMEDIATE SHAFT GENERATOR SIDE (ROTOR SIDE),WTG-B (2.82-FDR 2A) - POWER,WTG-B (2.82-FDR 2A) - PRODUCTION,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR BEARING 2 TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR SPEED (PLC),WTG-B (2.82-FDR 2A) - STATE AND FAULT,WTG-B (2.82-FDR 2A) - GENERATOR OUTBOARD BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - HUB TEMPERATURE,WTG-B (2.82-FDR 2A) - SHAFT BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - TIP SPEED,WTG-B (2.82-FDR 2A) - TIP SPEED RATIO,WTG-B (2.82-FDR 2A) - TOWER ACCELERATION,WTG-B (2.82-FDR 2A) - WIND DIRECTION,WTG-B (2.82-FDR 2A) - WIND SPEED,WTG-B (2.82-FDR 2A) - YAW DEVIATION
20882,WTG-B,11-Feb-22 23:10:00,11380391,12.74691772,12.89676762,12.8237505,12.97115421,12.09815311,12.2519474,1606204,2820,-3278.5,2827.789795,3511572,65.71871948,-3.700000048,13.45982838,OnLine,21.9960041,13.9102993,40.11923599,88.18081665,6.569589138,143.3801575,22,13.58132172,3
21026,WTG-B,12-Feb-22 23:10:00,11458949,4.077125549,4.07358408,4.128477097,4.121991634,3.445129633,3.426170111,1606204,2536.948242,-3278.5,2832.010254,3544941,60.44946289,-3.700000048,13.37343025,OnLine,15.14594555,5.960546017,33.01702881,89.01140594,8.945515633,151.0592194,198,9.979057312,2
21170,WTG-B,13-Feb-22 23:10:00,11535491,8.927214622,8.98005867,9.001107216,9.054445267,8.27600956,8.335238457,1606204,2584.677979,-3278.5,1212.335571,3578499,61.00997925,-3.700000048,13.32037354,OnLine,21.26044273,13.83633709,35.28854752,86.12052155,8.824352264,150.9465485,182,10.05014515,4
21314,WTG-B,14-Feb-22 23:10:00,11603437,0.821326971,0.48631233,-0.077773474,0.565009475,-3.067056417,-3.345647573,1606204,2766.850098,-3278.5,1873.885132,3599872,61.58834839,-3.700000048,12.16909218,OnLine,17.98994255,18.85464478,39.79999924,80.24272156,7.281359196,254.2544556,115,11.08767986,3
21458,WTG-B,15-Feb-22 23:10:00,11672929,16.38792801,16.34840012,16.46479988,16.41792107,15.74140072,15.69669724,1606204,2820,-3278.5,2850.974365,3643519,66.89211273,-3.700000048,13.4710865,OnLine,28.62100029,21.3113327,42.20000076,90.0621109,4.854573727,208.2004242,176,18.53895569,5
21602,WTG-B,16-Feb-22 23:10:00,11758545,10.92769432,10.85368824,10.98505974,10.92807484,10.26488113,10.20886803,1606204,2819.966309,-3278.5,1912.317749,3701797,64.67715454,-3.700000048,13.36266613,OnLine,24.20864487,16.97551537,42.75138474,89.02624512,6.320475101,154.9025574,18,14.08817291,9.477975845
21746,WTG-B,17-Feb-22 23:10:00,11818982,84.99002838,81.56258392,81.73240662,81.56258392,84.99081421,81.56258392,1606204,9.528116226,-3278.5,-14.49254513,3735964,40.73686981,-3.700000048,0,Weather Outage,12.69683838,3.82867837,22.14489937,1.199140191,0,0,185,1.004317522,136.2149811
21890,WTG-B,18-Feb-22 23:10:00,11896214,0.243120655,0.218543157,0.326683015,0.293228537,-0.396137923,-0.424407214,1606204,1928.57373,-3278.5,2068.309814,3763057,62.69133759,-3.700000048,12.63881397,OnLine,18.46101761,11.30209732,35.4202652,85.33113861,9.912787437,121.2712708,230,8.532776833,1
22034,WTG-B,19-Feb-22 23:10:00,11974762,84.98851776,84.96374512,84.99029541,84.96374512,84.99004364,84.96374512,1606204,2820,-3278.5,-10.1157608,3796202,44.48791122,-3.700000048,0.59657824,External Curtailment,24.83269882,14.77378654,29.13101196,3.6075418,0.297563881,45.7868042,190,14.20063496,3.753849268
22178,WTG-B,20-Feb-22 23:10:00,12024492,8.218423843,8.206730843,8.299765587,8.281117439,7.579458714,7.561910629,1606204,2469.88916,-3278.5,2437.466064,3825431,63.80433273,-3.700000048,13.41492653,OnLine,28.60709953,20.78384399,40.62063217,89.42353058,9.040128708,129.9263458,165,9.971960068,2.701747417
