,turbine,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev
32402,WTG-G,85.024086,85,85.00014496,85,85.01612854,85,2813.850098,43.65354919,-9.518358231,5207208,20.73607826,-3.700000048,0.642203927,Fault 4533,24.55764389,16.7424984,30.64628029,2.821696758,0.338216484,178.7438049,322,13.42545128,5
32546,WTG-G,1.138733506,1.003880739,1.141096711,1.003880739,1.133864641,1.003880739,117.7133102,65.00514984,169.4448853,5210213,60.0165596,-3.700000048,7.419151783,OnLine,26.88292694,17.758358,31.51137924,51.56838226,13.80041409,22.05878258,108,3.586361408,2
32690,WTG-G,1.179066062,1.073360443,1.157206416,1.073360443,1.167816401,1.073360443,131.7041626,66.21738434,191.7692108,5225224,60.48678589,-3.700000048,7.420424938,OnLine,27.61882401,17.20176506,37.21073151,47.57925797,13.37650394,50.01851273,24,3.68884325,17.95317078
2,WTG-J,8.552727699,8.443871498,7.591919899,7.841707706,6.595003128,6.431625843,2334.678955,-3278.5,1936.787476,571775,69.96231079,-3.700000048,13.49878883,OnLine,55.15758514,35.09822845,51.88153839,89.76295471,9.546299934,143.1261597,313.3246765,9.379014969,0.35067749
146,WTG-J,10.1906786,10.05109024,9.326060295,9.818539619,7.632445812,7.666106701,1738.687012,-3278.5,1289.851318,607911,67.1322937,-3.700000048,13.67119694,OnLine,52.21696854,32.82483292,51.0709343,90.9094162,11.16087437,233.9385223,168.9255524,8.144165993,3.071914673
290,WTG-J,0.339794368,0.368509412,0.489113867,0.513520479,0.002061493,0.026871884,314.8179321,-3278.5,309.2362366,633998,63.45641327,-3.700000048,7.978415966,OnLine,44.82255936,26.97611809,44.59237671,53.05410767,10.98740387,209.3017731,177,4.611792564,1.691207886
434,WTG-J,5.799572468,5.767075539,5.937038898,5.912086487,5.453767776,5.425437927,694.8370972,-3278.5,599.3881226,637125,58.79325104,-3.700000048,10.19969463,OnLine,44.32370377,28.89803123,39.04560089,67.82495117,11.50625229,21.57265663,298,5.884134769,1.911529541
578,WTG-J,10.6063776,10.53569031,7.706696033,8.342412949,7.249510288,6.790081024,2496.404541,-3278.5,1939.375122,667214,69.51891327,-3.700000048,13.5120554,OnLine,55.67525864,30.81633186,49.11607361,89.8511734,9.05635643,83.71228027,323.6607056,9.950777054,1.369647384
722,WTG-J,7.790432453,7.766826153,7.927460194,7.911837101,7.448413372,7.425188541,2813.408203,-3278.5,2341.153564,698311,69.59999847,-3.700000048,13.53783512,OnLine,52.42287827,29.77492523,49.37372971,90.0226059,6.735011101,89.63812256,198.2330322,13.35758686,0.824234009
866,WTG-J,11.618083,10.41135979,9.373495102,9.124241829,10.57183075,11.15345001,2686.026123,-3278.5,1349.950317,722388,69.25150299,-3.700000048,13.37018776,OnLine,54.46042633,32.74323273,48.69712067,88.90779877,8.416563034,64.13191986,332,10.57526398,1.515228271
