,turbine,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev,Turbine,WTG-B (2.82-FDR 2A) - BLADE 1 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 1 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - SET VALUE,WTG-B (2.82-FDR 2A) - EXPECTED POWER,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE INTERMEDIATE SHAFT GENERATOR SIDE (ROTOR SIDE),WTG-B (2.82-FDR 2A) - POWER,WTG-B (2.82-FDR 2A) - PRODUCTION,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR BEARING 2 TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR SPEED (PLC),WTG-B (2.82-FDR 2A) - STATE AND FAULT,WTG-B (2.82-FDR 2A) - GENERATOR OUTBOARD BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - HUB TEMPERATURE,WTG-B (2.82-FDR 2A) - SHAFT BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - TIP SPEED,WTG-B (2.82-FDR 2A) - TIP SPEED RATIO,WTG-B (2.82-FDR 2A) - TOWER ACCELERATION,WTG-B (2.82-FDR 2A) - WIND DIRECTION,WTG-B (2.82-FDR 2A) - WIND SPEED,WTG-B (2.82-FDR 2A) - YAW DEVIATION
26354,WTG-D,-0.40564391,-0.392756552,-0.867102921,-0.852713883,-0.760456026,-0.753439724,317.6390076,-3278.5,562.1502686,3711989,58.32086182,-3.700000048,8.619557381,OnLine,21.83340454,17.29994011,30.29999924,54.80142975,10.39717484,101.1902084,100,5.03207922,1.263729334,,,,,,,,,,,,,,,,,,,,,,,,
26498,WTG-D,2.547588587,2.580615997,2.811310291,2.531349659,3.382188082,3.564774036,2403.416992,-3278.5,2541.932373,3762239,65.86621857,-3.700000048,13.23277473,OnLine,22.00311852,20.2163887,32.16001129,82.28990936,7.488151073,180.9929504,342,10.73402786,8.0,,,,,,,,,,,,,,,,,,,,,,,,
26642,WTG-D,1.636289835,1.862902045,1.458076596,1.402944684,1.251626372,1.502218843,74.38334656,-3278.5,112.9713898,3811476,49.67951202,-3.700000048,7.419126511,OnLine,18.23105621,13.86319256,26.22362709,45.58172989,12.75735378,68.89411926,263,3.530565023,5.398820877,,,,,,,,,,,,,,,,,,,,,,,,
26786,WTG-D,1.791475177,1.860491276,1.358673215,1.400533915,1.461621881,1.499808073,72.65605164,-3278.5,86.89224243,3829519,54.49822235,-3.700000048,7.43154192,OnLine,25.07134056,19.79256439,28.78556061,46.74656677,12.88224316,86.17845154,132,3.524850845,12.0,,,,,,,,,,,,,,,,,,,,,,,,
26930,WTG-D,-0.41265595,-0.466062129,-0.84660691,-0.92601943,-0.739517689,-0.826745331,356.2859497,-3278.5,327.0588684,3843187,58.46400833,-3.700000048,7.417156696,OnLine,26.39029503,20.86688995,29.83599854,45.17293549,8.77557373,92.69190979,96,5.145551205,7.0,,,,,,,,,,,,,,,,,,,,,,,,
27074,WTG-D,6.625270844,6.614051342,6.332786083,6.22466898,6.661809921,6.589867592,2498.407959,-3278.5,2500.731934,3853878,67.30000305,-3.700000048,13.32542038,OnLine,27.45870972,25.11580849,33.83789444,81.13647461,6.331831932,156.6575317,107,12.86800003,5.0,,,,,,,,,,,,,,,,,,,,,,,,
27218,WTG-D,2.072376251,2.006302834,1.53521049,1.449551225,1.81581521,1.782824159,2473.757568,-3278.5,2512.258057,3903090,66.8509903,-3.700000048,13.30751133,OnLine,25.38252258,22.8051033,35.76676559,80.84001923,7.2325387,216.3217926,91,11.17992496,7.561070442,,,,,,,,,,,,,,,,,,,,,,,,
27362,WTG-D,5.184111595,5.347034931,4.577458382,4.693991661,4.774873257,4.899278641,2500.0,-3278.5,2643.365479,3932204,68.25323486,-3.700000048,13.74220467,OnLine,33.8055954,30.93291092,36.71487808,81.3131485,6.580296993,301.8666687,177,12.68429947,3.54588604,,,,,,,,,,,,,,,,,,,,,,,,
27506,WTG-D,5.030651569,5.082952499,4.581858635,4.6229949,4.669390678,4.722269058,2487.798584,-3278.5,2579.281738,3990470,68.06062317,-3.700000048,13.8404808,OnLine,33.02164459,33.73843002,40.52041245,81.74111938,7.20795393,310.7954102,204,11.68012333,0.0,,,,,,,,,,,,,,,,,,,,,,,,
27650,WTG-D,-0.72412914,-0.604008138,-1.149346352,-1.027580261,-0.724086046,-1.040029526,1086.16687,-3278.5,1058.315796,4045736,58.67000198,-3.700000048,10.55604076,OnLine,20.53146553,20.09473038,33.57838058,64.11470795,8.614323616,184.2701721,2,7.450379372,6.0,,,,,,,,,,,,,,,,,,,,,,,,
