,turbine,date & time,op time,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,down time,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev
11378,WTG-C,07-Dec-21 23:10:00,7135678,2.420837879,2.457859755,2.374795675,2.409503222,2.469906092,2.419349432,1705748,161.4029999,51.26476669,180.5652313,2468662,56.98740005,-3.700000048,7.543878078,OnLine,19.18432808,9.216013908,30.0717392,52.45863724,12.98890591,58.24529266,155,3.861053467,3
11522,WTG-C,08-Dec-21 23:10:00,7199114,85.00399017,85,85.007164,85,84.9996109,85,1705748,2760.364746,41.88037872,-11.3423357,2475676,40.54678345,-3.700000048,0.519565344,External Curtailment,21.65606117,12.21347141,26.606287,2.01138258,0.237051681,111.7460403,173,12.13517475,2
11666,WTG-C,09-Dec-21 23:10:00,7238466,10.06819153,10.06848907,10.01701832,10.02013302,10.06285095,10.11945724,1705748,2416.123291,59.91054916,899.7450562,2482248,67.03093719,-3.700000048,11.55821323,OnLine,31.79028893,20.70359421,39.16876221,74.29502106,7.967830181,70.92503357,146,9.589466095,0.701662779
11810,WTG-C,10-Dec-21 23:10:00,7311975,23.85076141,23.84267044,23.80672264,23.79431343,23.9808979,23.99691391,1705748,2819.304688,51.45565796,368.2785034,2496280,54.45092392,-3.700000048,8.991095543,OnLine,24.95709229,11.74600124,40.73686981,59.72696686,3.719798803,143.6990662,329,16.41063118,7.055511475
11954,WTG-C,11-Dec-21 23:10:00,7367367,14.29023361,14.30250263,14.23787022,14.25414658,13.89366722,13.90706539,1705748,1906.767822,52.79999924,514.3074951,2503439,60.26296616,-3.700000048,9.900817871,OnLine,21.68615341,9.760793686,33.07508087,66.35847473,7.818961143,99.63352966,184,8.471487045,6.297885895
12098,WTG-C,12-Dec-21 23:10:00,7447941,18.17494965,18.05122185,18.3047657,18.20184517,18.68192291,18.99868011,1705748,2819.356689,53.10136032,587.5707397,2518471,55.36045837,-3.700000048,8.722300529,OnLine,24.88203239,14.79388142,36.34575653,58.00072098,4.539931774,147.9421997,168,12.36552715,0.302622646
12242,WTG-C,13-Dec-21 23:10:00,7525519,15.18543911,15.15551758,15.12596893,15.10716152,15.0747242,14.97823143,1705748,2819.804688,57.91348648,773.8258667,2532499,65.15697479,-3.700000048,11.05847073,OnLine,28.99424362,17.97942162,40.53073502,71.93482971,5.176435947,80.86078644,163,14.21314335,0
16418,WTG-C,11-Jan-22 23:10:00,9327494,17.94135666,18.01192474,17.89387321,17.96356773,18.14763641,18.07765579,1706065,1086.469971,54.05781174,202.0380859,2808937,61.0884819,-3.700000048,7.727933407,OnLine,25.81718254,14.14636612,33.72721863,52.47436523,7.516684055,56.52767563,194,6.863028526,5.769786835
16562,WTG-C,12-Jan-22 23:10:00,9402010,0.66481024,0.762323499,0.614898026,0.713966966,0.653061569,0.754777133,1706065,355.966217,56.90966797,239.5390625,2819703,62.55407333,-3.700000048,7.460160732,OnLine,29.31956863,17.01054001,35.38200378,49.77947617,10.41358566,68.12019348,354,4.781261921,3
16706,WTG-C,13-Jan-22 23:10:00,9467478,1.03132534,1.033225298,0.986051738,0.984868824,1.012691736,1.025134683,1706065,229.900528,54.2489357,162.2337189,2828564,59.63124847,-3.700000048,7.46663332,OnLine,29.98059273,19.85350227,35.92401123,51.70856476,11.84448338,34.89310837,106,4.217355251,1
16850,WTG-C,14-Jan-22 23:10:00,9527990,23.51771927,23.59975243,23.47750092,23.55622864,23.51757813,23.59524345,1706065,2542.448242,45.19607925,-5.297289848,2838935,42.20598602,-3.700000048,8.078762054,OnLine,22.3421402,8.741300583,34.72652817,52.21178818,4.767828465,193.7293854,337,11.29162598,9.202624321
16994,WTG-C,15-Jan-22 23:10:00,9606548,5.845231533,5.856480122,5.799664974,5.808123589,5.836614132,5.848389149,1706065,509.4943237,50.25495148,552.6885376,2854972,57.55842972,-3.700000048,9.70741272,OnLine,13.46815681,1.695054054,30.37249184,62.9485817,12.0742178,35.44887161,322,5.347738266,3.40789175
17138,WTG-C,16-Jan-22 23:10:00,9671015,1.592865944,1.411713719,1.540961027,1.363357186,1.576480389,1.403623104,1706065,65.8564682,51.43442535,125.8728027,2860403,55.57744217,-3.700000048,7.454349041,OnLine,26.12388229,13.67074966,29.72265625,49.81533813,15.24521828,31.12191582,94,3.255634785,10
17282,WTG-C,17-Jan-22 23:10:00,9684709,84.99891663,85,85.00720978,85,84.98912811,85,1706223,2660.189209,30.04969215,-3.312826395,2861897,28.68928719,-3.700000048,0.505052745,OK,18.81631088,12.83185387,18.1987915,2.093396187,0.327665836,8.41674614,171,10.48953056,3
20594,WTG-C,09-Feb-22 23:10:00,9705860,1.146779418,1.555625319,1.101690173,1.507268786,1.142685652,1.547534704,1707834,129.3924103,56.02914429,107.1440659,2865906,60.88745117,-3.700000048,7.48059082,OnLine,30.34309006,15.41542912,29.76155853,50.48572159,13.600914,23.66773224,65,3.673634291,5
20738,WTG-C,10-Feb-22 23:10:00,9768303,2.013754129,2.006819963,1.952340245,1.95846343,2.003580093,1.998729467,1707834,2384.730469,59.13298416,2693.032959,2875603,68.07881927,-3.700000048,13.43931866,OnLine,28.48987389,16.95943069,39.79748154,87.46452332,9.393362999,52.05279541,190,9.574942589,5
20882,WTG-C,11-Feb-22 23:10:00,9853905,11.14156914,11.4756012,12.48699665,12.13630962,13.20934296,13.3363409,1707834,2819.948242,62.47116089,2852.997559,2929855,71.32482147,-3.700000048,13.39820194,OnLine,23.78574181,12.80593491,41.48574448,90.0530777,5.497491837,194.7335205,20,16.23702812,2
21026,WTG-C,12-Feb-22 23:10:00,9932444,0.713829994,0.923727572,1.530416965,1.340654969,2.573255301,2.465364695,1707834,1709.813721,56.820961,2377.030029,2966017,65.33715057,-3.700000048,13.46227455,OnLine,17.32605362,3.932426214,34.47413254,87.33258057,11.08340549,186.8943939,178,8.089168549,1.738918662
21170,WTG-C,13-Feb-22 23:10:00,10007963,8.928469658,8.929358482,8.882043839,8.881002426,8.857525826,8.921267509,1707834,2529.833252,58.52253723,1415.991089,2995328,66.82880402,-3.700000048,13.38989162,OnLine,23.00417137,11.72631454,37.14916992,86.75283051,8.943066597,80.71936035,164,9.955043793,1
21314,WTG-C,14-Feb-22 23:10:00,10073884,-0.839750767,-0.827145219,-0.892186522,-0.875501812,-0.857783616,-0.835235834,1707834,1864.947266,57.67170334,1680.679443,3013300,65.99056244,-3.700000048,11.79153156,OnLine,27.73031425,16.7996769,40.66476059,78.79587555,9.368456841,87.44732666,115,8.384661674,1.520694137
21458,WTG-C,15-Feb-22 23:10:00,10143394,10.94563675,10.91228104,10.86920166,10.88055229,10.92221451,10.8988018,1707834,2776.770264,63.17014313,2828.424805,3057516,72.19999695,-3.700000048,13.26302338,OnLine,32.20899963,20.11706734,44.29786301,89.83422852,7.74773407,195.0917816,170,11.4444561,4.352533817
21602,WTG-C,16-Feb-22 23:10:00,10228987,8.609534264,8.514807701,9.768897057,9.658987999,9.618908882,9.738575935,1707834,2242.673828,61.6116066,1891.146729,3114786,69.83213043,-3.700000048,13.48885822,OnLine,26.30531502,16.70670128,44.21245956,88.70412445,9.531492233,127.8677902,13,9.418347359,4.532944202
21746,WTG-C,17-Feb-22 23:10:00,10275339,84.76616669,84.50015259,84.74346161,84.50015259,84.75658417,84.50015259,1735182,10.51583576,41.44098663,-13.43326759,3141352,37.69659424,-3.700000048,0.254784077,Weather Outage,12.33618736,2.108811378,21.68030739,0,0,9.879248619,163,0.984139264,69
21890,WTG-C,18-Feb-22 23:10:00,10354104,-0.839533091,-0.832723022,-0.875175416,-0.881079614,-0.843171895,-0.840813637,1735182,897.8826294,52.64191818,1095.782227,3169647,59.88349915,-3.700000048,10.17217445,OnLine,23.23851967,8.971225739,35.1142807,68.60921478,10.53391838,31.24276543,219,6.425982475,6
22034,WTG-C,19-Feb-22 23:10:00,10431655,84.99314117,81.58185577,84.98954773,81.58185577,84.98898315,81.58185577,1735182,1580.77771,45.78133774,-14.20971012,3194736,43.02009201,-3.700000048,0.26395157,External Curtailment,24.56668282,13.03891563,29.85851479,2.499421597,0,13.00793457,162,7.843386173,13
22178,WTG-C,20-Feb-22 23:10:00,10482220,6.897808552,6.897145748,6.844939709,6.848789215,6.889393806,6.889055252,1735182,1788.871948,61.60100174,2436.246826,3222842,70.40000153,-3.700000048,13.4878397,OnLine,31.70788383,19.05685997,42.36453629,88.10281372,10.87924576,109.2077713,149,8.247620583,6
