,turbine,blade1actual,blade2actual,blade3actual,power,rotor speed,generating outboard bearing temp,hub temp,wind speed
39170,WTG-C,1.219745398,1.040351748,1.130379319,2524.468262,13.47853184,44.65250397,35.75069809,9.779940605
39314,WTG-C,-0.310253114,-0.501173735,-0.420692205,2082.687256,13.00822067,44.35367584,35.67886353,7.964860916
39458,WTG-C,2.644467592,2.462622166,2.530885458,2809.768066,13.39346409,45.94374084,36.00197601,10.28329945
39602,WTG-C,1.170126796,0.985407889,1.065680623,2300.991943,13.46160221,46.18037415,37.76675415,9.556365013
39746,WTG-C,-0.737294316,-0.916230321,-0.842144191,1236.037109,10.83374882,40.20731354,32.9015274,7.184360981
39890,WTG-C,3.336874485,3.271026373,3.094776392,2194.219971,13.48524761,46.84704208,37.11603546,7.75884819
40034,WTG-C,8.551804543,6.857100964,4.848591805,2833.748291,13.63564777,50.02952194,39.83199692,12.71253872
40178,WTG-C,6.118085861,9.063715935,7.601029396,2823.586182,13.57249737,44.00858688,34.95222092,14.74312592
40322,WTG-C,-0.773049593,-0.962134778,-0.880210817,1489.338257,11.41018581,33.70228577,24.08550072,7.517019749
40466,WTG-C,1.24763763,1.06954515,1.142310023,125.7777023,7.478429317,34.05836868,25.86688232,3.840468645
40610,WTG-C,-0.745994389,-0.928746462,-0.851266325,1534.963135,11.65049076,40.05601883,30.98578453,8.262509346
40754,WTG-C,3.486025333,2.252874136,0.853898108,2795.164551,13.50335121,42.29992676,32.84990692,10.08312702
40898,WTG-C,2.293162107,1.12039578,1.584364533,2573.852051,13.48019695,46.65542221,36.84116364,10.07269669
2,WTG-E,7.667419434,7.722341537,7.376340389,1983.121216,13.36400986,40.63097382,34.00452042,10.39058399
146,WTG-E,8.29305172,7.683051109,6.492800236,2007.454468,13.25120449,38.06063843,30.86641312,11.04741001
290,WTG-E,6.709109783,6.700540543,6.322853088,535.8115234,9.800614357,33.25358963,25.21119118,6.204181194
434,WTG-E,2.316693068,2.316100597,1.932635903,837.8713989,10.19542694,35.73503876,27.90160561,6.590865135
578,WTG-E,84.99860382,85.00687408,85.02332306,-2.084234238,0.35003224,29.32167625,27.73607063,13.04911995
722,WTG-E,7.766519547,7.745744705,7.35862112,1081.039795,13.13749409,35.02977371,28.84487343,7.689684391
866,WTG-E,12.74931526,12.74879646,12.3677845,1537.857788,13.48719025,38.25423431,30.85961723,15.64110851
1010,WTG-E,11.91100597,11.17521095,12.20964813,1305.503296,13.13752937,38.76755142,32.79630661,12.51337051
1154,WTG-E,3.444586515,3.432189465,3.060292959,2127.172119,13.38233376,39.70977402,33.03374481,9.302190781
1298,WTG-E,-0.718094766,-0.646757424,-1.099832177,936.6069336,9.823155403,38.62095642,32.8477478,7.241804123
1442,WTG-E,0.955221772,0.936377108,0.577024221,2422.372559,13.30608273,37.75474548,30.82500267,9.926089287
1586,WTG-E,85.04431915,85.04956055,85.04514313,-15.34332466,0.048169486,31.424366,25.74352074,1.841268897
1730,WTG-E,64.96237946,64.99610138,64.97434998,-13.03603268,0,30.74487305,26.78196526,0.95652312
1874,WTG-E,1.823207855,1.87289691,1.537297368,-14.43274403,7.739674091,32.45672226,25.65527534,2.30198884
2018,WTG-E,33.67359924,33.6624527,33.36432266,-20.34716606,0.430968821,34.48283005,30.04850197,1.588229418
2162,WTG-E,-0.543381631,-0.553872168,-0.847334862,1606.69751,11.71420574,36.70095825,28.84008598,7.792264938
2306,WTG-E,7.663496017,7.667006016,7.33525753,2845.417725,13.47590351,36.87184906,28.78988647,8.505639076
2450,WTG-E,-0.772467732,-0.676767051,-0.983097196,942.9101563,9.819651604,34.76325607,26.12085152,4.82386446
2594,WTG-E,0.27861622,0.224730641,-0.07024169,2112.64209,13.06496048,39.2976265,30.79880524,8.43020153
2738,WTG-E,6.581796169,6.586953163,6.288625717,2491.356445,13.53352165,41.31478882,32.88967896,12.01084995
2882,WTG-E,10.08785915,8.470598221,8.052791595,2431.385254,13.56313419,41.10842514,32.66088104,12.54208851
3026,WTG-E,13.67929935,13.68064404,13.36840439,2238.162842,13.46518421,29.82151031,19.9484024,16.76362038
3170,WTG-E,5.370182037,5.274392128,5.057562351,2818.520508,13.49017334,36.35350037,25.16964531,11.73095036
3314,WTG-E,12.81188011,12.01009178,10.9303751,2603.195557,13.41419983,36.45766449,26.0736351,14.80512333
3458,WTG-E,0.734994948,0.759657502,0.459793061,193.2731934,7.488485813,32.22251511,25.89176559,3.925578117
3602,WTG-E,-0.729529023,-0.779322803,-1.050588489,466.7388,7.843036175,30.43369675,21.89801788,5.540572643
3746,WTG-E,-0.774356306,-0.734504342,-1.073735595,483.3100891,7.929692268,28.95713806,18.99562645,4.976023197
3890,WTG-E,-0.759037614,-0.777907789,-1.062372684,831.9877319,9.392487526,30.71216393,22.11563301,5.481129646
4034,WTG-E,7.599565506,7.601396561,7.296032429,2454.361572,13.49844933,32.88193512,23.85004997,11.96121883
4178,WTG-E,5.483435154,7.871251583,6.015110016,2710.790527,13.37992477,33.18186188,22.98539162,12.88832188
4322,WTG-E,6.904360294,6.901226044,6.600284576,2529.426758,13.32607937,35.58515167,25.87527084,11.11628532
4466,WTG-E,-0.691309869,-0.739342988,-1.018588305,574.3518677,8.365011215,31.43657494,22.23707962,5.612738132
4610,WTG-E,-0.722558498,-0.733885407,-0.850796819,645.0361938,8.694937706,31.19177818,22.81058311,6.637457848
4754,WTG-E,-0.687175572,-0.669496357,-0.977740049,1359.949951,11.03034306,33.85232925,22.03545952,7.203824043
10226,WTG-E,1.879454851,1.879295945,1.577019811,2434.20874,13.46884632,31.73007774,21.88331032,9.040947914
